Location no.,Language,Name,Address 1 formatted postal,Address 2 formatted physical,phone,fax,contact,email,portfolio code,enrol FTE,Description
6463,Polish,Southern Area Polish School 'Ala I As',,"Hallett Cove School, 2-32 Gledsdale Road, Hallett Cove SA 5158",(08) 8322 2213,(08) 8322 2213,Mrs Agnieszka Stawinski,,,,Ethnic Schools
6937,Punjabi,Guru Nanak School,,"Guru Nanak Sikh Temple, 7A Barham Street, Allenby Gardens SA 5009",(08) 8641 1008,(08) 8641 1008,Mr Mahanbir Singh Grewal,,,,Ethnic Schools
6465,Punjabi,Punjabi School - Adelaide,,"10 Mount Barker Road, Glen Osmond SA 5064",0421 348 499,,Mrs Minakshi Aiden,,,,Ethnic Schools
9142,Romanian,The Romanian Ethnic School,,"Blackfriars Priory School, 17 Prospect Road, Prospect SA 5082",(08) 8235 2107,,Mrs Viorica Papuc,,,,Ethnic Schools
9137,Russian,A. Pushkin Russian School,,"St George College, 73 - 75 Rose Street, Mile End SA 5031",0421 277 797,,Ms Faina Kanter,,,,Ethnic Schools
9135,Russian,Adelaide Russian Ethnic School Incorporated,,"North Adelaide PS, 62-80 Tynte Street, North Adelaide SA 5006",0422 371 204,(08) 8265 6641,Mr Kostyantyn Todorashko,,,,Ethnic Schools
6469,Russian,Russian Molokan School Inc,,"Golden Grove HS, 1 Adey Place, Golden Grove SA 5125",0433 544 082,,Ms Nadya Bolderoff,,,,Ethnic Schools
6470,Russian,School of Russian Language,,"97 New Street, Queenstown SA 5014",(08) 8341 5843,,Mr Sirgey Kuskoff,,,,Ethnic Schools
6448,Russian,School of St Nicholas Parish of Russian Orth Chrch,,"41-42 Greenhill Road, Wayville SA 5034",(08) 8271 2653,,Rev Vladimir Deduhin,,,,Ethnic Schools
6449,Russian,Slavic Baptist Church School of Russian Language,,"11 Broad Street, Queenstown SA 5014",(08) 7225 7344,,Mrs Ira Henkel,,,,Ethnic Schools
6453,Serbian,Ethnic School of Serbian Language - Cika Jova Zmaj,,"117 Regency Road, Croydon Park SA 5008",(08) 8340 3632,(08) 8346 9547,Mrs Gina Traljic,,,,Ethnic Schools
6450,Serbian,Free Serbian Orthodox Church Comm Schl St Sava,,"Orthodox Church, Mary Street, Hindmarsh SA 5007",(08) 8358 3238,,Ms Milica Vujnovic,,,,Ethnic Schools
6451,Serbian,Serbian Ethnic School 'Saint Sava',,"675 Port Road, Woodville Park SA 5011",(08) 8347 7146,(08) 8345 1596,Mr Slavko Govedarica,,,,Ethnic Schools
6454,Sinhalese,Sinhala Buddhist School,,"Athelstone PS, 8 Brookside Road, Athelstone SA 5076",(08) 8261 2582,,Dr Jayantha Amarasena,,,,Ethnic Schools
6994,Somali,Somali Ethnic School of SA,,"Woodville HS, 11 Actil Avenue, Woodville SA 5011",(08) 8244 8701,(08) 8268 9995,Mr Abdi Ali Osman,,,,Ethnic Schools
6606,Spanish,Gabriela Mistral,,"Karrendi PS, 15 Bradman Road, Parafield Gardens SA 5107",(08) 8250 9999,,Ms Patricia Rios,g.m.spanishs.schoolc.c@gmail.com,,,Ethnic Schools
6602,Spanish,School of Spanish Language and Culture,,"Immaculate Heart of Mary School, 95 East Street, Brompton SA 5007",(08) 8445 1973,,Ms Jenni Llamas,,,,Ethnic Schools
9139,Swahili,Kenyan Association of SA (KASA) Swahili School,,"Kilburn Community Centre, 59 Gladstone Street, Kilburn SA 5084",(08) 8387 9796,,Mr Geoffrey Baraka,,,,Ethnic Schools
6458,Tamil,Adelaide Tamil Language School,,"Burnside PS, 11 High Street, Burnside SA 5066",0406 628 634,,Mr Raj Srithar,adelaidetamilschool@gmail.com,,,Ethnic Schools
9151,Tamil,South Australian Tamil School,,"Harrison Road, Pennington SA 5013",0439 465792,,Mr Madhu Michael,,,,Ethnic Schools
6472,Tatar,Tatar-Bashkurt Ethnic School,,"Burc College, 52-56 Wandana Avenue, Gilles Plains SA 5086",(08) 8367 5309,,Mrs Dilara Valiff,,,,Ethnic Schools
6949,Turkish,Turkish Ethnic School,,"714 Main North Road, Gepps Cross SA 5094",0419 845 126,(08) 8258 8745,Mr Niyazi Gures,,,,Ethnic Schools
9129,Turkish,Turkish Ethnic School (TASA),,"59 Gladstone Street, Kilburn SA 5084",(08) 8306 1669,,Ms Tanya Kaplan,,,,Ethnic Schools
6478,Uighur,Uighur Language School,,"14 Blacks Road, Gilles Plains SA 5086",(08) 8266 1352,(08) 8261 5164,Ms Zulfiya Abdulla,uighurlanguage@ymail.com,,,Ethnic Schools
6952,Ukrainian,Association of Ukrainians Community School Adel,,"Ukrainian Community Hall, 64-66 Orsmond Street, Hindmarsh SA 5007",(08) 8258 1275,,Ms Iryna Kvasniuk,,,,Ethnic Schools
6483,Uzbek,Uzbek Ethnic School,,"Burc College, 52-56 Wandana Avenue, Gilles Plains SA 5086",(08) 7289 1143,,Mr Azamat Turdiev,au.uzchild@gmail.com,,,Ethnic Schools
6484,Vietnamese,Bo De School,,"Phap Hoa Temple, 20 Butler Avenue, Pennington SA 5013",(08) 8447 8477,,Ms Hao Nguyen,,,,Ethnic Schools
6485,Vietnamese,Dac Lo Vietnamese Ethnic School,,"Woodville HS, 11 Actil Avenue, Woodville SA 5011",(08) 8365 2886,(08) 8359 1336,Mr Binh Quang Nguyen,,,,Ethnic Schools
6951,Vietnamese,Lac-Viet Vietnamese School,,"Blackfriars Priory School, 17 Prospect Road, Prospect SA 5082",(08) 8262 2096,,Mr Duc-Tuynh Vu,,,,Ethnic Schools
6487,Vietnamese,St Mary's Vietnamese School Inc,,"St Mary's College, 253 Franklin Street, Adelaide SA 5000",(08) 8351 3054,,Sr Nien Thi Tran,,,,Ethnic Schools
6486,Vietnamese,The Lac Long Vietnamese Ethnic School Inc,,"Pennington PS, Butler Avenue, Pennington SA 5013",(08) 7225 8789,(08) 7225 8789,Mr Anh Hoang,,,,Ethnic Schools
6488,Vietnamese,Vietnamese Ethnic School - SA Chapter,,"Adelaide Secondary School of English, 253 Torrens Road, West Croydon SA 5008",(08) 8365 2714,(08) 8447 5527,Mrs Lan Ha,,,,Ethnic Schools
