ID,Title,PostCode,Suburb,Street Address,Postal Address,Telephone,Alt Telephone,Fax,Email,Website,Description,Longitude,Latitude,Can drop off?,EPA licence
1117,All Bulk Waste,5160,Lonsdale,"12 Christie Road, Lonsdale 5160",PO Box 912 Morphett Vale 5162,(08) 8382 8618,(08) 8186 0177,(08) 8326 2487,allbulk@chariot.net.au,http://www.onkaparinga.sa.gov.au,All Bulk Waste is a transfer station that recycles rubble (concrete)  scrap metals  Used Motor Oil  green organics  paper and cardboard. Monday to Friday 8.00am till 4.30pm and Saturday / Sunday 9.00am till 2.00pm. Also closed on all public holidays.,138.4920,-35.1022,1,2731
1118,All Suburbs Scrap Metal,5086,Greenacres,"112 Muller Road, Greenacres 5086",PO Box 161 Greenacres 5086,0408 819 393,NULL,(08) 8266 3980,NULL,NULL,Opening hours 7 Days 9am-5pm. Recycle dispose and reuse cars  caravans  trailers  all trucks and machinery. Also buy and remove scrap metal. Negotiable payment or charge for item pick up.,138.6330,-34.8712,1,NA
1121,AMCOR Recycling,5094,Dry Creek,"Lot 1  412-440 Hanson Road,  Dry Creek 5094",PO Box 2243 Dry Creek 5094,(08) 8348 9888,NULL,(08) 8348 9899,don.stevens@amcor.com,http://www.amcor.com,Opening hours 7 days a week 7:30am-4:00pm. Australia's largest recycler of paper products with the Adelaide Depot processing over 50 000 tonnes per annum  primarily from business and industry. Recycles any paper and cardboard.,138.5550,-34.8290,1,16060
1122,Anglicare,5006,North Adelaide,"18 King William Road, North Adelaide 5006","15 Ridgeway Road, Elizabeth West 5113",(08) 8209 6600,(08) 8305 9200,NULL,NULL,http://www.anglicare-sa.org.au,This charity organisation takes textiles  furniture. To donate textiles/Rags/furniture please deposit at your local Anglicare bin located throughout Metro Adelaide. We also provide a home collection service. Please call to arrange this service. We accept materials at our discretion.,0.0000,0.0000,0,could not find
1123,Apple Pty Ltd,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,http://www.apple.com/au/recycling,"Please refer to website for service information and conditions. We recycle computers, laptop batteries, AA batteries, Mobile Phones and iPods.",151.3230,-33.1048,0,NA
1124,Ardrossan Depot,5571,Ardrossan,"28 Coast Road, Ardrossan 5571",PO Box 434 Kadina 5554,(08) 8821 4188,NULL,NULL,NULL,NULL,"Opening hours Tues, Thurs 9:00am-1:00pm",0.0000,0.0000,1,NA
1125,Arno Bay,5603,Arno Bay,"Alexandria Terrace, Arno Bay 5603",PO Box 111 Arno Bay 5603,0427 762 409,(08) 8628 0085,(08) 8628 0085,carrickr@bigpond.com,NULL,"Opening hours Tues 10am-12noon, 1pm-4pm, every 1st and 3rd Sunday of each month 10am-12noon.",0.0000,0.0000,1,NA
1126,Associated Metals SA Pty Ltd,5013,Wingfield,"15 Francis Road, Wingfield 5013",15 Francis Road Wingfield 5013,(08) 8345 0840,NULL,NULL,assocmetals@bigpond.com.au,http://www.assoc-metals.com,Opening hours Mon-Fri 8:30am-4:30pm. Associated Metal Pty Ltd was formed in 1994 to procure  process and market Non-ferrous Metal scrap.,0.0000,0.0000,1,14287
1127,Augusta Bottle & Can Recyclers Pty Ltd,5700,Port Augusta,"7 Woodcock Street, Pt Augusta 5700",PO Box 3088 Port Augusta West 5700,(08) 8642 5099,0407 729 746,(08) 8642 5099,NULL,NULL,Open Mon-Fri 9am-5pm. From 1st October to 30th April also open on Saturdays 9am-11am.,0.0000,0.0000,1,NA
1128,Auscol Pty Ltd,5016,Largs Bay,"136-144 Elder Rd, Largs Bay 5016",79 Doherty's Road North Laverton Vic 3026,1800 629 476,NULL,(02) 9978 1188,pvanmeel@auscol.com,http://www.auscol.com,Auscol is a specialist in environmentally responsible collection and recycling of used Cooking Oils and fats.,0.0000,0.0000,0,NA
1131,Australian Computer Society (ACS) PC Recycling Special Interest Group,5067,Kent Town,"54 King William Street, Kent Town 5067","54 King William Street, Kent Town 5067",(08) 7127 1581,NULL,NULL,communitycomputers@sa.acs.org.au,http://sa.acs.org.au/pc_rec_sig/index.php/Main_Page,"We refurbish used computers for reuse. Please see website or give us a call for specifications of what we accept. Please note we do not take monitors, older equipment or non working machines or peripherals. We are open to the public between 2pm and 7pm on Tuesdays. Appointments at other times can be made by emailing mail to: communitycomputers@sa.acs.org.au or by phoning 08 7127 1581 on Tuesday. Our telephone answering service is monitored at all times and messages left for us will be returned as quickly as possible. For a map to the location and to get directions to the office see http://www.acs.org.au/sa/contacts.htm.",138.6180,-34.9193,1,NA
1129,Australian Plastic Recycling Pty Ltd,5111,Edinburgh Park,"54-56 Purling Avenue, Edinburgh Park 5111",54-56 Purling Avenue Edinburgh Park 5111,(08) 8258 5885,0413 230 752,(08) 8258 5886,matt@apraus.com.au,http://www.apraus.com.au,Plastics recycling.  Most forms of Hard Plastic. Specialising in industrial plastic scrap/waste,138.6290,-34.7185,0,21224
1132,Australian Scrap Metal Brokers,5160,Lonsdale,"9 Chrysler Road, Lonsdale 5160",9 Chrysler Road Lonsdale 5160,(08) 8326 3222,NULL,(08) 8326 3233,ausbroke@bigpond.net.au,NULL,"Opening hours: Monday-Friday 8:30am- 5:00pm, Saturday 8:30am - 4:00pm. Bin service available. Recycles all forms of scrap metal. Cars  trucks  buses  caravans and machinery  ferrous and Non-ferrous Metal and building demolition materials and batteries (lead/acid only), e-waste and White Goods. Note that we do not recycle concrete or timber.",138.4890,-35.0957,1,"Applied for, T.B.A"
1133,B & A Recycling,5720,Pimba,"Old Kingoonya Road, Pimba 5720","PO Box 50, Woomera SA 5720",(08) 8673 7251,0407 186 505,(08) 8673 7250,bandarecycling@telstra.com,NULL,Please call in advance to arrange a drop off.,0.0000,0.0000,1,NA
1135,Balaklava Recycling Yard (Wakefield Plains Recycling),5461,Balaklava,"30-34 Edith Terrace, Balaklava 5461",PO Box 434 Kadina 5554,(08) 8821 4188,NULL,NULL,NULL,NULL,Opening hours Wed-Sat 9:00am-12:00noon,138.4170,-34.1464,1,NA
1103,Balhannah Mitre 10,5242,Balhannah,"37 Onkaparinga Valley Road, Balhannah 5242",,(08) 8398 7800,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,138.8220,-34.9942,1,
1136,Balhannah Salvage & Trading,5242,Balhannah,"87 Main Road, Balhannah 5242",PO Box 316 Stirling 5152,(08) 8388 4449,0407 464 773,NULL,balhannah.recycling@bigpond.com,NULL,"Opening hours: Mon-Fri: 8:30am-4:30pm,  Sat: 8:30am-2pm,  Sun 10am-2pm.",0.0000,0.0000,1,EPA 14014
1137,Barmera Recycling,5345,Barmera,"4 Anderson Street, Barmera 5345",PO 437 Barmera 5345,(08) 8588 1266,NULL,(08) 8588 1260,NULL,NULL,"Opening Hours Mon-Fri 9am-12noon, 1pm-4:00pm, Sat 8am-11am. Not open long weekends.",140.4680,-34.2570,1,NA
1111,Barossa Mitre 10 Solutions,5355,Nuriootpa,"7 Gawler Street, Nuriootpa 5355",,(08) 8568 6005,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,0.0000,0.0000,1,
1138,Battery World Glynde,5070,Glynde,"460 Payneham Road, Glynde 5070",NULL,(08) 8365 3709,NULL,(08) 8365 3702,glynde@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:30am to 5:30pm, Saturday: 8:30am to 2:30pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",0.0000,0.0000,1,
1139,Battery World Hilton,5033,Hilton,"86 Sir Donald Bradman Drive, Hilton 5033",NULL,(08) 8234 0014,NULL,(08) 8234 0133,hilton@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:30am to 5:30pm, Saturday: 8:30am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.5680,-34.9318,1,
1140,Battery World Marion,5162,Seacombe Gardens,"173 Sturt Road, Seacombe Gardens 5162",NULL,(08) 8296 6900,NULL,(08) 8296 6955,marion@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:00am to 5:30pm, Saturday: 9:00am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.5420,-35.0183,1,
1141,Battery World Melrose Park,5039,Melrose Park,"167 Edward Street, Melrose Park 5039",NULL,(08) 8371 2666,NULL,(08) 8371 2799,melrosepark@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:00am to 5:30pm, Saturday: 9:00am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",0.0000,0.0000,1,
1142,Battery World Modbury,5088,Modbury,"Shops 2 & 3, 1048 Grand Junction Road, Modbury 5088",NULL,(08) 8395 4311,NULL,(08) 8395 4599,modbury@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:30am to 5:30pm, Saturday: 9:00am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.6710,-34.8531,1,
1143,Battery World Morphett Vale,5162,Morphett Vale,"6 Bains Road, Morphett Vale 5162",NULL,(08) 8384 8852,NULL,(08) 8384 7654,morphettvale@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:00am to 5:30pm, Saturday: 9:00am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.5230,-35.1159,1,
1144,Battery World Mt Barker,5251,Mt Barker,"Shop 8, 4 Dutton Road, Mt Barker 5251",NULL,(08) 8391 2799,NULL,(08) 8391 0216,mtbarker@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Mon to Wed, Fri:  8.30am to 5.30pm, Thursday: 8.30am to 7.00pm, Saturday:  9.00am to 4.00pm, Sunday: 11.00am to 3.00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.8650,-35.0663,1,
1145,Battery World Port Adelaide,5014,Hendon,"1144 Old Port Rd, Hendon 5014",NULL,(08) 8241 0166,NULL,(08) 8241 0020,portadelaide@batteryworld.com.au,http://www.batteryworld.com.au/,"Opening hours: Monday to Friday 8:30am to 5:30pm, Saturday: 8:30am to 2:00pm. A charge is applicable for commercial quantities (greater than 5kg). We recycle all batteries.",138.5120,-34.8660,1,
1146,Bay Recycling,5680,Streaky Bay,"9 McCormack Way, Streaky Bay 5680",PO Box 140 Streaky Bay 5680,0427 774 025,(08) 8626 1994,(08) 8626 1994,bayrecycling@bigpond.com,NULL,Opening hours Mon-Fri 9am-5pm. Closed weekends.,134.2210,-32.7990,1,18804
1147,Beach Road Hardware,5165,Christies Beach,"94-96 Beach Road, Christies Beach 5165",,(08) 8382 4560,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,138.4810,-35.1391,1,
1151,Beachport Hardware and Hire,5280,Beachport,"6 Railway Terrace, Beachport 5280",,(08) 8735 8377,NULL,(08) 8735 8377,garmony@bigpond.com,NULL,"Mon-Fri 8:30am-5:30pm, Sat 8:30-12noon, Sun 10am-12noon. Only open on Sundays from September until end of April.",140.0140,-37.4817,1,NA
1148,Becks Mitre 10 Streaky Bay,5680,Streaky Bay,"12 Bay Road, Streaky Bay 5680",,(08) 8626 1002,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,134.2120,-32.7975,1,
1152,Belair Scouts Group,5052,Belair,"Downer Avenue, Belair 5052","PO Box 186, Belair SA 5052",(08) 8278 3957,0412 708 940,(08) 8130 6010,belair@sa.scouts.com.au,http://www.sa.scouts.com.au,Scouts Australia recycles all Container Deposits at the specific scout group sites mainly for group fundraising. Monthly kerbside collection- generally on the 1st Sunday of the month. Signs are put around the local area in the week prior.,138.6230,-35.0020,0,
1153,Berri Barmera Council- Monash Waste Depot,5342,Monash,"Henwood Road (off Bollenhagen Road), Monash 5342",NULL,(08) 8588 2882 (Riverland Litter-contractor),NULL,NULL,NULL,NULL,Open Tuesday- Sunday 9am-4pm,140.5430,-34.2410,0,NULL
1154,Betta Recycling,5013,Ottoway,"141 May Terrace, Ottoway 5013",141 May Terrace Ottoway 5013,(08) 8447 1888,NULL,(08) 8447 1888,bettarecycle@gmail.com,NULL,"Opening hours Mon-Fri 8:00am-4:00pm, Sat 8:00am- 1:00pm. Closed Sundays. Recycles all Container Deposits.",138.5370,-34.8440,1,NA
1149,Better Homes Supplies,5700,Port Augusta,"12 Bay Road, Port Augusta 5700",,(08) 8642 3033,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,137.7630,-32.4924,1,
1155,Bin It (Waste transport and recycling),5290,Mount Gambier,"235 Lake Terrace East, Mount Gambier 5290",PO Box 379 Mount Gambier 5290,(08) 8724 8121,NULL,(08) 8724 8121,binitwaste@bigpond.com,NULL,Opening Mon-Fri 7:45am-4pm. Please note that fees apply for hard waste recycling.,140.7940,-37.8440,1,23063
1156,Blackwood Firewood and Recycling,5051,Blackwood,"Main Road (opposite Railway Station), Blackwood 5051","Unit 3/38 station avenue, Blackwood",(08) 8278 2996,0400 183 169,NULL,casarch@internode.on.net,NULL,"Opening hours Mon-Fri 9am-5pm, Sat 9am-4pm. Blackwood Firewood Service recycles all Container Deposits.",138.6160,-35.0214,1,NA
1157,Blanchetown Recycling Centre,5357,Blanchetown,"Merrivale Road, Blanchetown 5357",PO Box 63 Blanchetown 5357,0413 005 685,(08) 8540 5241,(08) 8540 5241,paynes@activ8.net.au,NULL,Blanchetown Recycling Centre recycles all Container Deposits  Non-deposit Glass  hard and Soft Plastic and scrap metals.,139.6120,-34.3546,1,
1158,Bob's Hardware & Timber Mitre,5608, Whyalla,"1120-124 McDouall Stuart Avenue, Whyalla 5608",,(08) 8645 1111,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,137.5290,-33.0313,1,
1159,Bordertown Recycling Depot,5268,Bordertown,"Brown Terrace, Bordertown 5268",PO Box 653 Bordertown 5268,(08) 8752 1114,NULL,(08) 8752 1114,debfell9@dodo.com.au,http://www.bordertownrecycling.com.au,"Opening hours Mon-Fri 9:00am-5:00am (closed for lunch 12noon-1pm), Sat 9:00am-11:00am. Depot recycles batteries  Glass  scrap metal and Container Deposits.",140.7810,-36.3129,1,NA
1160,Bow Hill General Store,5238,Bow Hill,"28 Chucka Bend Road, Bow Hill 5238",Care of the post office at Bow Hill,(08) 8570 4244,NULL,(08) 8570 4244,NULL,NULL,Opening hours 7 days a week 9am-6pm,139.6100,-34.8860,1,NA
1150,Brighton Mitre 10,5048,Brighton,"419 Brighton Road, Brighton 5048",NULL,(08) 8296 8522,NULL,NULL,NULL,http://www.mitre10.com.au,NULL,138.5230,-35.0145,1,NULL
1161,Bright's Scrap Metal,5160,Lonsdale,"8 Christie Road, Lonsdale 5160",8 Christie Road Lonsdale 5160,(08) 8384 8832,NULL,NULL,br87559@bigpond.net.au,NULL,"Opening hours Mon-Fri 8:30-4:30, Sat 9:00am-12noon. Bright's Scrap Metal recycles all scrap metal.",138.4930,-35.1016,1,NA
1162,Brinkley Waste and Recycling Transfer Station,5253,Murray Bridge,"Lot 5 Section 8 Brinkley Road Hundred of Mobilong, Murray Bridge 5253",PO Box 54 Mount Barker 5251,(08) 8532 6385,NULL,NULL, info@ahrwma.com,http://www.ahrwma.com/,Opening hours Mon-Sat 10am-4pm. Closed Sunday and Public Holidays. Brinkley Waste Depot recycles all Container Deposits  car and truck batteries  Used Motor Oil  Building and Demolition Materials (do not recycle timber or concrete),139.2700,-35.1060,1,2014
1163,Broughton Recycling,5522,Port Broughton,"Dale Road, Port Broughton 5522",PO Box 53 Port Broughton 5522,0401 135 528,NULL,NULL,pjc58@live.com.au,NULL,"Opening Sun, Mon, Thurs 9am-12noon",137.9390,-33.6141,1,365
1164,Budget Reload,5088,Holden Hill,"650 North East Road, Holden Hill 5088","PO Box 1383, Golden Grove Village, Golden Grove 5125",(08) 8367 8333,NULL,(08) 8367 8444,orders@recycle.net.au,http://www.recycle.net.au,Remanufactures Ink Jets  Printer and Toner Cartridges. All original inkjet and toner cartridges. Australian distributor of Q-Ink and toner products. Clients are encouraged to drop off empty inkjet and laser toner cartridges.,138.6640,-34.8533,1,NA
1165,Burra Recycling Centre,5417,Burra,"Quarry Street, Burra 5417","21 Mitchell Flat, Burra 5417",0408 800 438,(08) 8892 2831,NULL,wayneandvic@bigpond.com,NULL,"Opening hours Tues, Wed, Thurs 3:30pm-5:30pm, every first and third Saturday of every month 9am-3pm. Burra Recycling Centre recycles all Container Deposits and all Non-deposit Glass.",138.9450,-33.6802,1,NA
1166,Campbelltown City Council - Newton Transfer Station,5074,Newton,"Virginia Road, Newton 5074","Unit 1/65 Stephens Ave, Torrensville 5031",(08) 8365 0025,1300 362 362,(08) 8365 0025,NULL,http://www.campbelltown.sa.gov.au,"Opening hours 7 days 7:30am-5:00pm except Christmas Day, Good Friday and New Years Day. Recycling drop-off and waste transfer station for range of material listed. Fee for service disposal available for Tyres and appropriately wrapped asbestos (must be properly wrapped in builders plastic).",138.6840,-34.8781,1,228
1167,CartCollect,5043,Mitchell Park,"6 Greenglade Dr, Mitchell Park 5043","14 Westside drive, North Laverton, VIC 3026",0419 045 230,1800 666 018,1800 240 133,mmansukhani@clovertech.com; info@cartcollect.com.au,http://www.cartcollect.com.au,"This is a free online collection service for laser printer cartridges of HP, Brother, Samsung and Lexmark printers. For free pickup service please register at www.cartcollect.com.au",138.5620,-35.0100,0,NA
1168,Ceduna Can & Bottle Recycling Pty Ltd T/A Ceduna Recycling,5690,Ceduna,"1A Collins St, Ceduna 5690",PO Box 587 Ceduna 5690,(08) 8626 9135,0408 140 240,(08) 8626 9103,ceduna.recycling@bigpond.com.au,NULL,"Ceduna Can and Bottle recycles all deposit and non-deposits Containers,  plastics,  Glass, Cardboard, Newspaper, and all ferrous and non-ferrous scrap metals and offers a recycling skip bin service. 10 cubic meter up to 30 cubic meter bins, waste management services and logistics.",133.6860,-32.1228,1,13480
1169,Channing's Bottle Yard,2880,Broken Hill,"73 Newton Lane, Broken Hill 2880",73 Newton Lane Broken Hill 2880,(08) 8088 3905,0419 313 494,NULL,NULL,NULL,"Opening hours Wed-Fri 8:30am-4:30pm, Sat 8:30-12noon. Recycles Container Deposits, aluminium cans and Non-deposit Glass.",141.4340,-31.9654,1,NA
1170,Chemsal,5013,Gillman,"38-50 Bedford Street, Gillman 5013","PO Box 45, Rosewater East, SA 5013",(08) 8241 2422,(03) 9369 4222,(08) 8241 2488,salessa@chemsal.com.au,http://www.chemsal.com.au,Fluorescent Tubes and HID (High Intensity Discharge) lamps contain hazardous contaminants. Chemsal accepts a wide range of lamps for treatment and safe disposal. Chemsal also recycles Fluorescent Tubes. Please drop off your used Compact Fluorescent Tubes and Fluorescent Tubes at your local participating SA Mitre 10 store. To locate your nearest Mitre 10 store please visit <http://www.mitre10.com.au/My-Mitre-10/Store-Locator-Search/search/SA>,138.5190,-34.8458,0,26584
1171,Christies Recyclers,5160,Lonsdale,"Cnr Brodie and Liston Roads, Lonsdale 5160","PO Box 421 Southgate Plaza, Morphett Vale 5162",(08) 8381 2409,NULL,(08) 8381 8090,NULL,NULL,Christies Recyclers recycles all Container Deposits  Glass  batteries  cardboard  paper steel iron and Non-ferrous Metal.,138.5090,-35.1007,1,EPA 2404
1172,City of Charles Sturt - Beverley Waste Management Centre,5009,Beverley,"2-6 Toogood Avenue, Beverley 5009",2-6 Toogood Avenue Beverley 5009,(08) 8408 1350,NULL,(08) 8408 1122,council@charlessturt.sa.gov.au,http://www.charlessturt.sa.gov.au,"Opening hours are 8am - 4pm Monday to Sat, 8am - 1pm Sundays, not open Public Holidays. More information available on our public website here: http://www.charlessturt.sa.gov.au/site/page.cfm?u=722",138.5440,-34.8989,1,244
1173,City of Holdfast Bay - Civic Centre,5048,Brighton,"24 Jetty Road, Brighton 5048",PO Box 19 Brighton 5048,(08) 8229 9999,NULL,(08) 8358 4561,mail@holdfast.sa.gov.au,http://www.holdfast.sa.gov.au,"Receive used Mobile Phones, household batteries and printer cartridges for recycling. Open for drop off 8:30am-5pm weekdays.",138.5200,-35.0171,1,NA
