Location no.,Name,,Address 1 formatted postal,Address 2 formatted physical,phone,fax,contact,email,portfolio code,enrol FTE,Description
0751,Allendale East Area School,,"c/- Post Office, Allendale East SA 5291","Bay Road, Allendale East SA 5291",(08) 8738 7218,(08) 8738 7321,Ms Beth Mahony,dl.0751.Admin@schools.sa.edu.au,14,202,Area Schools
0732,Ardrossan Area School,,,"14 Second Street, Ardrossan SA 5571",(08) 8837 3025,(08) 8837 3131,Ms Karen Bond,dl.0732.Admin@schools.sa.edu.au,02,187.4,Area Schools
0771,Booleroo Centre District School,,"PO Box 42, Booleroo Centre SA 5482","2-10 Stephen Street, Booleroo Centre SA 5482",(08) 8667 2124,(08) 8667 2201,Mrs Jennifer Stringer,dl.0771.Admin@schools.sa.edu.au,19,221.3,Area Schools
1432,Burra Community School,,,"7 Bridge Terrace, Burra SA 5417",(08) 8892 2007,(08) 8892 2047,Ms Susan Hart-Lamont,dl.1432.Admin@schools.sa.edu.au,19,240,Area Schools
0747,Cambrai Area School,,,"Main Road, Cambrai SA 5353",(08) 8564 5028,(08) 8564 5102,Ms Janice Love,dl.0747.Admin@schools.sa.edu.au,11,68.2,Area Schools
0734,Ceduna Area School,,"PMB 46, Ceduna SA 5690","6 May Crescent, Ceduna SA 5690",(08) 8625 2030,(08) 8625 2178,Mr Jim Michalanney,dl.0734.Admin@schools.sa.edu.au,18,587.4,Area Schools
0753,Cleve Area School,,,"Second Street, Cleve SA 5640",(08) 8628 2104,(08) 8628 2511,Mr Ray Marino,dl.0753.Admin@schools.sa.edu.au,18,294.6,Area Schools
0920,Coober Pedy Area School,,"PO Box 353, Coober Pedy SA 5723","Paxton Road, Coober Pedy SA 5723",(08) 8672 5077,(08) 8672 5738,Mr John Sutton,dl.0920.Admin@schools.sa.edu.au,20,298.6,Area Schools
0729,Coomandook Area School,,,Coomandook SA 5261,(08) 8573 3007,(08) 8573 3185,Ms Kathleen McAlister,dl.0729.Admin@schools.sa.edu.au,15,158.2,Area Schools
0735,Cowell Area School,,,"42 Story Street, Cowell SA 5602",(08) 8629 2150,(08) 8629 2486,Ms Jan Potter,dl.0735.Admin@schools.sa.edu.au,18,156,Area Schools
0754,Cummins Area School,,,"McFarlane Street, Cummins SA 5631",(08) 8676 2388,(08) 8676 2288,Ms Teleah Wilson,dl.0754.Admin@schools.sa.edu.au,18,399.8,Area Schools
0102,East Murray Area School,,"PMB 1, Karoonda SA 5307","1182 East Murray Area School Road, Mindarie SA 5309",(08) 8578 7053,(08) 8578 7072,Mr Darrell Murray,dl.0102.Admin@schools.sa.edu.au,15,39.4,Area Schools
0128,Elliston Area School,,,Elliston SA 5670,(08) 8687 9167,(08) 8687 9057,Ms Cynthia O'Neil,dl.0128.Admin@schools.sa.edu.au,18,64,Area Schools
0755,Eudunda Area School,,,"2 Reserve Road, Eudunda SA 5374",(08) 8581 1500,(08) 8581 1109,Mr David Cluse,dl.0755.Admin@schools.sa.edu.au,11,148,Area Schools
0175,Hawker Area School,,"PO Box 132, Hawker SA 5434","Arkaba Street, Hawker SA 5434",(08) 8648 4003,(08) 8648 4149,Ms Beth Walsh,dl.0175.Admin@schools.sa.edu.au,20,50,Area Schools
0777,Jamestown Community School,,,"Humphris Terrace, Jamestown SA 5491",(08) 8664 2700,(08) 8664 2707,Mr Mathew Evans,dl.0777.Admin@schools.sa.edu.au,19,274.7,Area Schools
0957,Kangaroo Inn Area School,,"PMB 24, Millicent SA 5280","2329 Beachport-Penola Road, Kangaroo Inn SA 5280",(08) 8734 3046,(08) 8734 3134,Ms Annie Matthews,dl.0957.Admin@schools.sa.edu.au,14,95.6,Area Schools
1882,Kangaroo Island Community Education,,,"5 Centenary Avenue, Kingscote SA 5223",(08) 8553 2074,(08) 8553 2075,Mr Ian Kent,dl.1882.Admin@schools.sa.edu.au,16,631.6,Area Schools
, Kingscote Campus,,,"5 Centenary Avenue, Kingscote SA 5223",(08) 8553 2074,(08) 8553 2075,Ms Maxine McSherry,dl.1882.Admin@schools.sa.edu.au,16,,Area Schools
, Parndana Campus,,,"Wedgewood Road, Parndana SA 5220",(08) 8559 6068,(08) 8559 6005,Mr Peter Philp,dl.1882.Admin@schools.sa.edu.au,16,,Area Schools
, Penneshaw Campus,,"PO Box 569, Penneshaw SA 5222","Howard Drive, Penneshaw SA 5222",(08) 8553 1067,(08) 8553 1199,Ms Leanne Woods,dl.1882.Admin@schools.sa.edu.au,16,,Area Schools
1123,Karcultaby Area School,,"PMB 9, via Minnipa, Minnipa SA 5654",Karcultaby SA 5654,(08) 8626 3077,(08) 8626 3009,Mr David Elson,dl.1123.Admin@schools.sa.edu.au,18,61.4,Area Schools
0756,Karoonda Area School,,,"North Terrace, Karoonda SA 5307",(08) 8578 1120,(08) 8578 1078,Mr Daniel Rankine,dl.0756.Admin@schools.sa.edu.au,15,148.4,Area Schools
0757,Keith Area School,,,"Tolmer Terrace, Keith SA 5267",(08) 8755 1177,(08) 8755 1618,Mr Daren O'Neill,dl.0757.Admin@schools.sa.edu.au,15,337.2,Area Schools
0736,Kimba Area School,,"PO Box 63, Kimba SA 5641","69 West Terrace, Kimba SA 5641",(08) 8627 2074,(08) 8627 2401,Mrs Robyn Wohling,dl.0736.Admin@schools.sa.edu.au,18,169.4,Area Schools
0737,Kingston Community School,,,"46 East Terrace, Kingston SE SA 5275",(08) 8767 2677,(08) 8767 2247,Mr Martin Lippett,dl.0737.Admin@schools.sa.edu.au,14,365.9,Area Schools
0759,Lameroo Regional Community School,,,"1 Bews Terrace, Lameroo SA 5302",(08) 8576 3040,(08) 8576 3223,Mr Jim Goodall,dl.0759.Admin@schools.sa.edu.au,15,176.4,Area Schools
0748,Leigh Creek Area School,,"PO Box 83, Leigh Creek SA 5731","Blackoak Drive, Leigh Creek SA 5731",(08) 8675 2062,(08) 8675 2534,Mr Iain Love,dl.0748.Admin@schools.sa.edu.au,20,118.3,Area Schools
0230,Lock Area School,,"PO Box 15, Lock SA 5633","West Terrace, Lock SA 5633",(08) 8689 1019,(08) 8689 1184,Mr Murray Adams,dl.0230.Admin@schools.sa.edu.au,18,67,Area Schools
0749,Lucindale Area School,,"PO Box 147, Lucindale SA 5272","14 Fairview Road, Lucindale SA 5272",(08) 8766 2084,(08) 8766 2058,Mr Adrian Maywald,dl.0749.Admin@schools.sa.edu.au,15,170.4,Area Schools
0761,Maitland Area School,,,"Junction Road, Maitland SA 5573",(08) 8832 2613,(08) 8832 2336,Mr Andrew Gravestocks,dl.0761.Admin@schools.sa.edu.au,02,192.1,Area Schools
1170,Mannum Community College,,,"Walker Avenue, Mannum SA 5238",(08) 8569 1503,(08) 8569 1082,Ms Leonie Falland,dl.1170.Admin@schools.sa.edu.au,15,341.7,Area Schools
0750,Meningie Area School,,,"1 North Terrace, Meningie SA 5264",(08) 8575 1106,(08) 8575 1368,Ms Monica Williams,dl.0750.Admin@schools.sa.edu.au,15,206.4,Area Schools
1121,Miltaburra Area School,,"RSD 70 Miltaburra Road, Streaky Bay SA 5680","3493 Miltaburra Road, Wirrulla SA 5661",(08) 8626 8088,(08) 8626 8016,Mr Rob Nunan,dl.1121.Admin@schools.sa.edu.au,18,46.3,Area Schools
0781,Minlaton District School,,,"2 North Terrace, Minlaton SA 5575",(08) 8853 2346,(08) 8853 2531,Ms Alison Bogle,dl.0781.Admin@schools.sa.edu.au,02,259.9,Area Schools
1794,Mintabie Area School,,"PO Box 54, Mintabie SA 5724","Airport Road, Mintabie SA 5724",(08) 8670 5038,(08) 8670 5040,Mrs Helen Fesus,dl.1794.Admin@schools.sa.edu.au,20,8,Area Schools
1488,Moonta Area School,,"PO Box 113, Moonta SA 5558","Blanche Terrace, Moonta SA 5558",(08) 8825 2088,(08) 8825 2609,Ms Kirstin Amos,dl.1488.Admin@schools.sa.edu.au,02,577.8,Area Schools
0289,Mount Compass Area School,,"PO Box 54, Mount Compass SA 5210","School Road, Mount Compass SA 5210",(08) 8556 8219,(08) 8556 8471,Mr Kevin Mooney,dl.0289.Admin@schools.sa.edu.au,13,404.6,Area Schools
0762,Oakbank Area School,,,"154 Onkaparinga Valley Road, Oakbank SA 5243",(08) 8398 7200,(08) 8388 4718,Mr Steve Adams,dl.0762.Admin@schools.sa.edu.au,12,366,Area Schools
0740,Orroroo Area School,,,"West Terrace, Orroroo SA 5431",(08) 8658 1100,(08) 8658 1309,Mr Paul Pitkin,dl.0740.Admin@schools.sa.edu.au,19,126.7,Area Schools
0741,Port Broughton Area School,,,"12 East Terrace, Port Broughton SA 5522",(08) 8635 2105,(08) 8635 2507,Mrs Denise Rigby-Meth,dl.0741.Admin@schools.sa.edu.au,02,155.5,Area Schools
0793,Quorn Area School,,"PO Box 21, Quorn SA 5433","Stokes Road, Quorn SA 5433",(08) 8648 6101,(08) 8648 6254,Mr Iain Elliott,dl.0793.Admin@schools.sa.edu.au,20,206.9,Area Schools
1817,Roxby Downs Area School,,,"7 Richardson Place, Roxby Downs SA 5725",(08) 8671 0011,(08) 8671 0210,Mr Stephen Bennett,dl.1817.Admin@schools.sa.edu.au,20,571.4,Area Schools
0745,Streaky Bay Area School,,,"109 Wells Street, Streaky Bay SA 5680",(08) 8626 1202,(08) 8626 1658,Mr Christopher Roberts,dl.0745.Admin@schools.sa.edu.au,18,238.5,Area Schools
0423,Swan Reach Area School,,"PO Box 31, Swan Reach SA 5354",Swan Reach SA 5354,(08) 8570 2053,(08) 8570 2325,Ms Kylie Eggers,dl.0423.Admin@schools.sa.edu.au,01,106.3,Area Schools
0438,Tintinara Area School,,"PO Box 1596, Tintinara SA 5266","37 Wendt Terrace, Tintinara SA 5266",(08) 8757 2120,(08) 8757 2187,Mr Stuart Kitto,dl.0438.Admin@schools.sa.edu.au,15,97.8,Area Schools
0743,Tumby Bay Area School,,"PO Box 125, Tumby Bay SA 5605","West Terrace, Tumby Bay SA 5605",(08) 8688 2003,(08) 8688 2608,Mr Rod Sutherland,dl.0743.Admin@schools.sa.edu.au,18,275.6,Area Schools
0746,Woomera Area School,,"PO Box 193, Woomera SA 5720","Dewrang Avenue, Woomera SA 5720",(08) 8673 7287,(08) 8673 7005,Mr Joseph Brooks,dl.0746.Admin@schools.sa.edu.au,20,17.7,Area Schools
0765,Wudinna Area School,,"PO Box 30, Wudinna SA 5652","Medley Terrace, Wudinna SA 5652",(08) 8680 2263,(08) 8680 2393,Ms Maria McCallum,dl.0765.Admin@schools.sa.edu.au,18,177.8,Area Schools
0766,Yankalilla Area School,,,"207 Main South Road, Yankalilla SA 5203",(08) 8558 0888,(08) 8558 2155,Ms Christine Bell,dl.0766.Admin@schools.sa.edu.au,13,358.6,Area Schools
0767,Yorketown Area School,,"PO Box 104, Yorketown SA 5576","Stansbury Road, Yorketown SA 5576",(08) 8852 1233,(08) 8852 1024,Ms Liz Wilson,dl.0767.Admin@schools.sa.edu.au,02,258.8,Area Schools
,,,,,,,,,,,
,,,,,,,,,,,Licensed Child Care Centres
,,,,,,,,,,,
5982,Aldinga Beach B-7 Childrens Centre,,,"Quinliven Road, Aldinga SA 5173",(08) 8556 5060,(08) 8556 5810,Ms Jane Moore,,12,,Children's Centres for Early Childhood Development and Parenting
1557,Andamooka Children's Centre,,"PO Box 143, Andamooka SA 5722",Andamooka SA 5722,(08) 8672 7018,(08) 8672 7197,Ms Angela Turner,dl.0509.Admin@schools.sa.edu.au,20,,Children's Centres for Early Childhood Development and Parenting
4668,Ardtornish Children's Centre,,"2 Roder Court, St Agnes SA 5097","2 Saarinen Avenue, St Agnes SA 5097",(08) 8264 9828,(08) 8395 3601,Ms Heather Fuss,dl.4668.leaders@schools.sa.edu.au,04,,Children's Centres for Early Childhood Development and Parenting
1206,Blair Athol North School B-7 Children's Centre,,,"Marmion Avenue, Blair Athol SA 5084",(08) 8168 0700,(08) 8168 0777,Ms Penny Cook,dl.1903.Admin@schools.sa.edu.au,05,,Children's Centres for Early Childhood Development and Parenting
5363,CaFE Enfield Children's Centre,,,"17A Wilkins Street, Enfield SA 5085",(08) 8342 3329,(08) 8342 3309,Ms Joan Gilbert,dl.5363.leaders@schools.sa.edu.au,05,,Children's Centres for Early Childhood Development and Parenting
6641,Ceduna Aboriginal Children and Family Centre,,"PO Box 63, Ceduna SA 5690","2 Kelly Street, Ceduna SA 5690",(08) 8625 2294,(08) 8625 2295,Mrs Susie Bowden,dl.6641.leaders@schools.sa.edu.au,18,,Children's Centres for Early Childhood Development and Parenting
1567,Cowandilla Children's Centre,,,"Cowandilla PS, 21 Jenkins Street, Cowandilla SA 5033",(08) 8443 7800,(08) 8234 2445,Ms Kie Babister,dl.0106.Admin@schools.sa.edu.au,10,,Children's Centres for Early Childhood Development and Parenting
3624,Darlington Children's Centre,,,"12A Kurrajong Place, Seacombe Gardens SA 5047",(08) 8296 2686,(08) 8377 1569,Ms Suzanne Russell,dl.3624.leaders@schools.sa.edu.au,17,,Children's Centres for Early Childhood Development and Parenting
2614,Elizabeth Grove Children's Centre,,,"20 Haynes Street, Elizabeth Grove SA 5112",(08) 8255 7515,(08) 8287 6684,Ms Jenny Fox,dl.2614.leaders@schools.sa.edu.au,03,,Children's Centres for Early Childhood Development and Parenting
6615,Ellendale Kindergarten,,,"First Street, Port Pirie SA 5540",(08) 8633 0077,(08) 8633 2621,Ms Emma Thompson,dl.6615.leaders@schools.sa.edu.au,19,,Children's Centres for Early Childhood Development and Parenting
2622,Elsie Ey Children's Centre,,,"23 Kingfisher Drive, Hewett SA 5118",(08) 8522 1900,(08) 8523 4036,Mrs Lawrina Osbourne,dl.2622.leaders@schools.sa.edu.au,11,,Children's Centres for Early Childhood Development and Parenting
2650,Ernabella Children and Family Centre,,"PMB 63, Ernabella, via Alice Springs NT 0872",Ernabella SA 0872,(08) 8956 2977,(08) 8956 2930,Ms Sue Record,,09,,Children's Centres for Early Childhood Development and Parenting
3641,Forbes Children's Centre for Early Chldhd Dev,,,"80 Thomas Street, South Plympton SA 5038",(08) 8293 9000,(08) 8351 0470,Ms Roslyn Usher,dl.3641.leaders@schools.sa.edu.au,16,,Children's Centres for Early Childhood Development and Parenting
6642,Gabmididi Manoo Children And Family Centre,,"Schulz Avenue, Whyalla Norrie SA 5608","Cnr Clutterbuck St & Hincks Ave, Whyalla Norrie SA 5608",(08) 8645 5240,(08) 8645 7604,Ms Kellie Bails,dl.6642.leaders@schools.sa.edu.au,20,,Children's Centres for Early Childhood Development and Parenting
2624,Gawler & District College B-12 Children's Centre,,,"Barnet Road, Evanston SA 5116",(08) 8522 3626,(08) 8523 4035,Ms Christine Townsend,dl.2624.leaders@schools.sa.edu.au,11,,Children's Centres for Early Childhood Development and Parenting
1582,Gilles Plains Children's Centre,,,"Gilles Plains Primary School, Beatty Avenue, Hillcrest SA 5086",(08) 8261 3339,(08) 8266 1471,Mrs Chris Markos,dl.0146.Admin@schools.sa.edu.au,05,,Children's Centres for Early Childhood Development and Parenting
3635,Goolwa Children's Centre,,,"Brooking Street, Goolwa SA 5214",(08) 8555 2509,(08) 8555 1565,Ms Jillian Griffen,dl.3635.leaders@schools.sa.edu.au,13,,Children's Centres for Early Childhood Development and Parenting
3638,Hackham West Children's Centre,,,"9 Vintners Walk, Hackham West SA 5163",(08) 8382 6161,(08) 8326 8268,Mrs Heather Morony,dl.3638.leaders@schools.sa.edu.au,16,,Children's Centres for Early Childhood Development and Parenting
4609,il nido Children's Centre,,,"22 Campbell Road, Paradise SA 5075",(08) 8365 3839,(08) 8365 3423,Ms Rebecca Heath,dl.4609.leaders@schools.sa.edu.au,08,,Children's Centres for Early Childhood Development and Parenting
2630,Ingle Farm Children's Centre,,"PO Box 122, Ingle Farm SA 5098","2 Belalie Road, Ingle Farm SA 5098",(08) 8260 3511,(08) 8260 3533,Ms Nadia Carruozzo,dl.2630.leaders@schools.sa.edu.au,06,,Children's Centres for Early Childhood Development and Parenting
1423,John Hartley School B-7 Children's Centre,,,"199 Peachey Road, Smithfield Plains SA 5114",(08) 8209 1800,(08) 8209 1850,Ms Ali Thomson,dl.1901.Admin@schools.sa.edu.au,04,,Children's Centres for Early Childhood Development and Parenting
2621,Kaurna Plains Children's Centre,,,"85 Ridley Road, Elizabeth SA 5112",(08) 8252 5936,(08) 8287 6682,Ms Nieske Verwaal,dl.2621.leaders@schools.sa.edu.au,03,,Children's Centres for Early Childhood Development and Parenting
4631,Keithcot Farm Children's Centre,,,"5 Keithcot Farm Drive, Wynn Vale SA 5127",(08) 8251 2700,(08) 8289 2676,Mrs Anne Whittleston,dl.4631.leaders@schools.sa.edu.au,05,,Children's Centres for Early Childhood Development and Parenting
6627,Kirton Point Children's Centre,,,"63 Stevenson Street, Port Lincoln SA 5606",(08) 8682 5969,(08) 8683 3931,Ms Kathryn Heath,dl.6627.leaders@schools.sa.edu.au,18,,Children's Centres for Early Childhood Development and Parenting
1404,Lake Windemere B-7 School Children's Centre,,,"17 Uraidla Avenue, Salisbury North SA 5108",(08) 8258 0666,(08) 8285 9127,Mrs Sue Holecek,dl.1908.Admin@schools.sa.edu.au,05,,Children's Centres for Early Childhood Development and Parenting
1448,Mark Oliphant College Children's Centre,,"PO Box 196, Smithfield Plains SA 5114","99 Douglas Drive, Munno Para SA 5115",(08) 8209 1600,(08) 8209 1650,Ms Kim Cooper,dl.1900.Admin@schools.sa.edu.au,04,,Children's Centres for Early Childhood Development and Parenting
1698,Mount Gambier Children's Centre,,,"Mulga Street, Mount Gambier SA 5290",(08) 8723 4989,(08) 8725 9567,Mrs Pauline Bosco,dl.1650.Admin@schools.sa.edu.au,14,,Children's Centres for Early Childhood Development and Parenting
5658,Ocean View College Children's Centre,,,"23 Gedville Road, Taperoo SA 5017",(08) 8248 2593,(08) 8341 9920,Ms Sue Davies,dl.5658.leaders@schools.sa.edu.au,10,,Children's Centres for Early Childhood Development and Parenting
3665,O'Sullivan Beach Children's Centre,,,"51A Galloway Road, O'Sullivan Beach SA 5166",(08) 8382 2850,(08) 8326 8258,Ms Leanne Mattsson,dl.3665.leaders@schools.sa.edu.au,16,,Children's Centres for Early Childhood Development and Parenting
2654,Parafield Gardens Children's Centre,,,"9 Casuarina Drive, Parafield Gardens SA 5107",(08) 8258 3659,(08) 8285 5163,Mrs Faye Stasinowsky,dl.2654.leaders@schools.sa.edu.au,03,,Children's Centres for Early Childhood Development and Parenting
5380,Parks Children's Centre,,,"Trafford Street, Angle Park SA 5010",(08) 8243 5582,(08) 8268 3365,Ms Dianne Krieg,dl.5380.leaders@schools.sa.edu.au,09,,Children's Centres for Early Childhood Development and Parenting
5422,Port Augusta Children's Centre,,,"Carlton School, Rupert Street, Port Augusta SA 5700",(08) 8642 6504,(08) 8641 0534,Ms Catherine Cameron,,20,,Children's Centres for Early Childhood Development and Parenting
8247,Pukatja Family Wellbeing Centre,,,Ernabella SA 0872,,,,,09,,Children's Centres for Early Childhood Development and Parenting
6541,Renmark Children's Centre,,,"204 Eighteenth Street, Renmark SA 5341",(08) 8586 6063,(08) 8586 6159,Ms Gale Hansen,dl.6541.leaders@schools.sa.edu.au,01,,Children's Centres for Early Childhood Development and Parenting
4161,Sturt Street Children's Centre,,,"221-239 Sturt Street, Adelaide SA 5000",(08) 8231 3100,(08) 8231 3188,Ms Anne-Marie Shin,,07,,Children's Centres for Early Childhood Development and Parenting
5987,Taikurrendi Children and Family Centre,,,"8 Price Street, Christies Beach SA 5165",(08) 8186 1102,(08) 8384 6840,Ms Catherine Cavouras,,16,,Children's Centres for Early Childhood Development and Parenting
6551,Tinyeri Children's Centre,,"PO Box 5015, Murray Bridge SA 5253","65 Jarvis Avenue, Murray Bridge SA 5253",(08) 8531 1515,(08) 8531 1537,Ms Miriam Bjelovarac,dl.6551.leaders@schools.sa.edu.au,15,,Children's Centres for Early Childhood Development and Parenting
1625,Trinity Gardens Children's Centre,,,"Trinity Gardens PS, 160 Portrush Road, Trinity Gardens SA 5068",(08) 8333 8557,(08) 8332 3041,Ms Rowena Tennant,dl.0474.Admin@schools.sa.edu.au,07,,Children's Centres for Early Childhood Development and Parenting
3625,Woodcroft Heights Children's Centre,,,"25 Investigator Drive, Woodcroft SA 5162",(08) 8381 8005,(08) 8387 4791,Ms Marian Nayda,dl.3625.leaders@schools.sa.edu.au,17,,Children's Centres for Early Childhood Development and Parenting
1205,Woodville Gardens School B-7 Children's Centre,,,"Ridley Grove, Woodville Gardens SA 5012",(08) 8414 8688,(08) 8414 8690,Ms Ashley Christie-Ling,dl.1904.Admin@schools.sa.edu.au,09,,Children's Centres for Early Childhood Development and Parenting
,,,,,,,,,,,
1028,Charles Campbell College,,,"3 Campbell Road, Paradise SA 5075",(08) 8165 4700,(08) 8165 4750,Ms Sue George-Duif,dl.1028.Admin@schools.sa.edu.au,08,1110.2,Combined Primary/Secondary Schools (R-12)
0773,Clare High School,,,"Elliot Street, Clare SA 5453",(08) 8842 2788,(08) 8842 2153,Mr Rob Knight,dl.0773.Admin@schools.sa.edu.au,02,502,Combined Primary/Secondary Schools (R-12)
1884,Eastern Fleurieu R-12 School,,,"11 Callington Road, Strathalbyn SA 5255",(08) 8536 2455,(08) 8536 3747,Mr Trevor Fletcher,dl.1884.Admin@schools.sa.edu.au,13,1067.5,Combined Primary/Secondary Schools (R-12)
, Ashbourne Campus,,"PO Box 42, Ashbourne SA 5157","14 Ashbourne Road, Ashbourne SA 5157",(08) 8536 6135,(08) 8536 6142,Ms Cathy Hunt,dl.1884.Admin@schools.sa.edu.au,13,,Combined Primary/Secondary Schools (R-12)
, Langhorne Creek Campus,,,Langhorne Creek SA 5255,(08) 8537 3145,(08) 8537 3103,Mr Paul Jude,dl.1884.Admin@schools.sa.edu.au,13,,Combined Primary/Secondary Schools (R-12)
, Milang Campus,,,"Cnr Coxe & Rivers Streets, Milang SA 5256",(08) 8537 0223,(08) 8537 0242,Ms Beth Muirhead,dl.1884.Admin@schools.sa.edu.au,13,,Combined Primary/Secondary Schools (R-12)
, Strathalbyn R-6 Campus,,,"34 East Terrace, Strathalbyn SA 5255",(08) 8536 2344,(08) 8536 3782,Ms Vikki McInnes,dl.1884.Admin@schools.sa.edu.au,13,,Combined Primary/Secondary Schools (R-12)
, Strathalbyn 7-12 Campus,,,"11 Callington Road, Strathalbyn SA 5255",(08) 8536 2455,(08) 8536 3747,Mr Roy Webb,dl.1884.Admin@schools.sa.edu.au,13,,Combined Primary/Secondary Schools (R-12)
0774,Gawler and District College B-12,,,"Barnet Road, Evanston SA 5116",(08) 8521 2400,(08) 8523 0439,Mr Andrew Dickinson,dl.0774.Admin@schools.sa.edu.au,11,1110,Combined Primary/Secondary Schools (R-12)
0640,Hallett Cove School,,,"2-32 Gledsdale Road, Hallett Cove SA 5158",(08) 8392 1020,(08) 8381 6713,Ms Mary Asikas,dl.0640.Admin@schools.sa.edu.au,17,1275.6,Combined Primary/Secondary Schools (R-12)
0778,Kadina Memorial School,,"PO Box 346, Kadina SA 5554","5 Doswell Terrace, Kadina SA 5554",(08) 8821 0100,(08) 8821 1058,Mr Dean Angus,dl.0778.Admin@schools.sa.edu.au,02,1030.1,Combined Primary/Secondary Schools (R-12)
1900,Mark Oliphant College (B-12),,"PO Box 196, Smithfield Plains SA 5114","99 Douglas Drive, Munno Para SA 5115",(08) 8209 1600,(08) 8209 1650,Ms Lynne Symons,dl.1900.Admin@schools.sa.edu.au,04,1384.8,Combined Primary/Secondary Schools (R-12)
